configuration,result_type,model,lightgbm_weight,xgboost_weight,oof_auc,log_loss,mean_fold_auc,std_fold_auc,fit_seconds,predict_seconds,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,fold_seed
e5,component,XGBoost,,,0.963638160407448,0.2206572428955065,0.9636388870170716,0.0004120424575654,47.859668999008136,1.608086208027089,0.9639708428438378,0.9629552011590988,0.9638005477757792,0.9639031811566732,0.9635646621499684,123
e6,blend,E6 grid LGB 0.3,0.3,0.7,0.9641944075869384,0.2188863209748849,0.9641941515445732,0.0004085416511661,0.0,0.0,0.96450042033154,0.963525362998492,0.9644444584159368,0.9644199592521008,0.964080556724796,123
e6,blend,E6 grid LGB 0.4,0.4,0.6,0.9642132274891952,0.218871897356,0.96421318099836,0.0004026980095034,0.0,0.0,0.9645225076369311,0.9635575115543172,0.9644632854245664,0.9644284740816196,0.9640941262943644,123
e6,blend,E6 grid LGB 0.5,0.5,0.5,0.9641889337684004,0.2189805558144668,0.964188899921364,0.0003979159992302,0.0,0.0,0.9645015785614788,0.9635448243061024,0.9644404440645468,0.9643935754591328,0.9640640772155588,123
e6,blend,E6 selected blend,0.4,0.6,0.9642132274891952,0.218871897356,0.96421318099836,0.0004026980095034,0.0,0.0,0.9645225076369311,0.9635575115543172,0.9644632854245664,0.9644284740816196,0.9640941262943644,123
e6,component,LightGBM,,,0.9633951172764286,0.2213364904838965,0.9633945079279738,0.0003900687678126,231.2442452510295,17.347106293047545,0.9637388190675618,0.9627840724953194,0.963649147205762,0.9635623088843692,0.9632381919868566,123
e6,component,XGBoost,,,0.9638739862517496,0.2197704066258269,0.963873788710372,0.0004294200266147,182.79358620906712,6.666933083994081,0.9641668183941544,0.9631606682325048,0.9641268430963448,0.964137878122574,0.9637767357062832,123
e4,blend,E4 selected blend,0.5,0.5,0.96128843275001,0.2289504804149396,0.9612889839674676,0.00080706268072,0.0,0.0,0.9604163635431126,0.9619793923086182,0.9619482653547314,0.9616903012873348,0.9604105973435402,2026
e4,component,LightGBM,,,0.9608280174015212,0.2323441566060103,0.9608288996307092,0.0009855362869895,12.38769841796602,1.3855587919533718,0.9596712796783148,0.9616000962338116,0.961714137989315,0.9613013798523538,0.9598576043997512,2026
e4,component,XGBoost,,,0.9608448878199436,0.2302081319425011,0.9608466625025964,0.0006860183710013,11.06771183400997,0.3581184599897824,0.9601354039810438,0.9614572987877312,0.9612886465540328,0.9612883971476736,0.9600635660425,2026
e5,blend,E5 selected blend,0.5,0.5,0.9638910941369712,0.2201142032570966,0.9638928083738107,0.0007653957797028,0.0,0.0,0.9632318776807292,0.9645933139247234,0.9646865698294844,0.9639443834424314,0.9630078969916858,2026
e5,component,LightGBM,,,0.9632345206929358,0.2219255010613259,0.9632351168809632,0.0007739168086088,74.42803862300934,4.9481124579615425,0.962499736306056,0.9638596221964814,0.9640929185033728,0.9633361135545682,0.9623871938443378,2026
e5,component,XGBoost,,,0.9635697150388148,0.2208612664206334,0.9635727310560692,0.0007342267637619,47.98662354197586,1.613290249981219,0.9630170477200668,0.9643017273175296,0.964261949921002,0.9636257858474376,0.9626571444743104,2026
e6,blend,E6 grid LGB 0.3,0.3,0.7,0.9642115644858112,0.2188236431327412,0.9642141180249152,0.0007171844153371,0.0,0.0,0.9635822687509789,0.9648987177203364,0.9649287304646332,0.9642688484298578,0.9633920247587704,2026
e6,blend,E6 grid LGB 0.4,0.4,0.6,0.9642324269871824,0.2188031158973017,0.9642351409092011,0.0007254743236286,0.0,0.0,0.9635864201109484,0.9649142484040224,0.9649674100164848,0.9642988895907492,0.9634087364238012,2026
e6,blend,E6 grid LGB 0.5,0.5,0.5,0.9642094075502664,0.2189084931646205,0.9642118893336812,0.0007328868831835,0.0,0.0,0.963546127917368,0.9648848867041993,0.9649601858585324,0.9642852143584418,0.963383031829864,2026
e6,blend,E6 selected blend,0.4,0.6,0.9642324269871824,0.2188031158973017,0.9642351409092011,0.0007254743236286,0.0,0.0,0.9635864201109484,0.9649142484040224,0.9649674100164848,0.9642988895907492,0.9634087364238012,2026
e6,component,LightGBM,,,0.9634119481601836,0.2212889328301204,0.9634148339099472,0.0007567181685151,231.19881291603087,17.434958290978102,0.9626792715879482,0.9640206577680176,0.9642254694837168,0.9635711119393447,0.9625776587707092,2026
e6,component,XGBoost,,,0.9638782094737184,0.2197525182467979,0.9638811981407592,0.0006883846046378,183.42706758499844,6.6323799150122795,0.9633071329415728,0.9645750414202624,0.9645338070389756,0.9639194660218476,0.9630705432811388,2026
